User_X,User_Y,GazeDirection_X,GazeDirection_Y,AGV_X,AGV_Y,TimestampID
1813.704,8485.372,-0.149,-0.786,3700.019,11365.198,2
1813.4,8485.634,-0.138,-0.795,3700.022,11341.159,2
1809.248,8486.156,-0.113,-0.793,3700.024,11316.355,3
1801.048,8486.063,-0.114,-0.826,3700.027,11290.738,3
1797.781,8484.709,0.069,-0.965,3700.03,11263.888,3
1797.165,8483.904,0.114,-0.984,3700.033,11235.77,3
1795.227,8482.299,0.088,-0.985,3700.037,11206.787,3
1796.709,8484.95,0.073,-0.977,3700.041,11176.302,3
1797.041,8487.749,0.025,-0.979,3700.046,11144.829,3
1796.91,8488.004,-0.026,-0.994,3700.05,11111.985,3
1796.894,8488.01,-0.017,-0.992,3700.056,11078.138,3
1796.535,8488.016,-0.013,-0.994,3700.062,11042.903,3
1793.637,8485.147,0.009,-0.99,3700.069,11006.497,3
1786.539,8474.239,-0.009,-0.994,3700.076,10968.816,3
1782.348,8468.268,-0.03,-0.993,3700.084,10929.604,4
1778.841,8465.168,-0.034,-0.994,3700.092,10889.274,4
1776.489,8458.551,-0.024,-0.997,3700.101,10847.04,4
1775.908,8456.085,0.012,-0.995,3700.111,10803.726,4
1776.503,8458.582,0.093,-0.988,3700.122,10758.827,4
1778.59,8466.94,0.625,-0.756,3700.133,10712.255,4
1777.435,8462.953,0.785,-0.594,3700.145,10664.109,4
1772.124,8444.927,0.928,-0.365,3700.158,10614.278,4
1764.928,8420.755,0.943,-0.322,3700.172,10562.618,4
1758.053,8397.341,0.902,-0.419,3700.187,10509.021,4
1751.6,8374.219,0.941,-0.32,3700.203,10453.197,4
1746.472,8355.67,0.993,-0.081,3700.22,10396.72,4
1742.541,8344.41,0.994,0.044,3700.236,10340.653,5
1738.585,8332.655,0.993,0.02,3700.253,10284.762,5
1733.048,8312.503,0.987,-0.099,3700.269,10228.565,5
1726.942,8290.033,0.63,-0.74,3700.286,10172.473,5
1720.547,8267.402,-0.138,-0.956,3700.303,10116.46,5
1715.489,8249.879,-0.766,-0.628,3700.32,10060.127,5
1711.63,8235.166,-0.955,-0.276,3700.336,10004.18,5
1708.994,8222.882,-0.899,-0.401,3700.353,9947.506,5
1704.963,8207.376,-0.963,-0.214,3700.37,9890.816,5
1697.769,8184.723,-0.963,-0.184,3700.385,9834.534,5
1689.885,8161.252,-0.969,-0.147,3700.107,9778.068,5
1685.217,8147.993,-0.953,-0.204,3698.637,9722.072,5
1681.598,8138.179,-0.877,-0.396,3697.82,9666.131,6
1678.218,8128.73,-0.26,-0.896,3697.145,9610.52,6
1673.468,8116.925,0.211,-0.967,3696.31,9554.061,6
1668.288,8105.305,0.308,-0.944,3694.715,9498.294,6
1665.242,8098.968,0.198,-0.973,3693.013,9442.502,6
1663.763,8096.409,0.022,-0.986,3691.69,9385.614,6
1657.322,8084.812,0.029,-0.995,3690.282,9329.786,6
1651.265,8072.217,0.013,-0.997,3688.082,9273.925,6
1643.923,8054.563,0.01,-0.997,3685.312,9216.967,6
1635.152,8031.636,0.027,-0.995,3683.312,9161.731,6
1627.566,8009.47,0.013,-0.995,3681.225,9105.072,6
1622.501,7992.327,0.017,-0.992,3679.113,9048.657,6
1618.337,7972.804,0.058,-0.988,3676.864,8993.173,7
1613.955,7946.742,0.069,-0.991,3673.841,8936.346,7
1610.302,7919.571,0.064,-0.991,3671.229,8880.513,7
1607.466,7892.468,0.053,-0.99,3668.42,8824.429,7
1605.277,7867.76,0.096,-0.978,3664.91,8768.797,7
1603.851,7846.01,0.305,-0.657,3661.725,8712.226,7
1604.036,7824.91,0.286,-0.653,3658.568,8656.053,7
1605.595,7800.294,0.257,-0.708,3654.406,8600.333,7
1608.01,7784.384,0.101,-0.895,3650.162,8544.191,7
1610.442,7785.679,0.017,-0.999,3646.429,8488.392,7
1612.916,7778.328,0.033,-0.996,3642.216,8432.478,7
1615.86,7763.979,0.023,-0.995,3636.313,8376.36,7
1618.609,7748.299,0.015,-0.997,3630.873,8320.26,8
1621.202,7732.013,0.006,-0.997,3625.973,8264.765,8
1623.837,7713.492,0.0,-0.995,3620.322,8208.398,8
1626.418,7693.575,0.022,-0.994,3612.698,8152.901,8
1629.317,7669.051,0.045,-0.991,3603.052,8097.627,8
1632.604,7639.809,0.069,-0.991,3595.131,8041.068,8
1636.288,7606.175,0.078,-0.99,3587.481,7985.774,8
1640.397,7568.587,0.042,-0.992,3578.668,7930.185,8
1644.673,7529.757,0.037,-0.992,3567.307,7875.234,8
1648.675,7492.731,0.033,-0.992,3551.47,7821.358,8
1651.544,7464.73,0.049,-0.987,3532.568,7768.156,8
1654.437,7430.05,0.048,-0.991,3516.101,7713.567,8
1656.813,7391.341,0.032,-0.996,3498.637,7660.337,9
1658.054,7350.789,0.028,-0.998,3477.314,7608.462,9
1658.267,7310.107,0.011,-0.996,3451.332,7558.888,9
1658.108,7270.927,0.034,-0.992,3421.787,7510.61,9
1657.867,7236.753,0.055,-0.99,3389.476,7464.507,9
1657.557,7199.781,0.07,-0.987,3354.815,7419.775,9
1657.067,7152.938,0.093,-0.992,3321.326,7373.612,9
1656.546,7102.703,0.077,-0.994,3288.639,7328.002,9
1656.02,7050.286,0.072,-0.993,3253.481,7284.712,9
1655.359,6991.864,0.058,-0.991,3213.972,7244.027,9
1654.704,6944.977,0.045,-0.985,3172.115,7207.119,9
1653.985,6906.416,0.049,-0.988,3127.283,7172.14,9
1653.089,6873.56,0.061,-0.99,3081.213,7140.777,10
1651.399,6832.494,0.06,-0.994,3032.458,7111.873,10
1649.276,6791.044,0.057,-0.995,2982.684,7085.599,10
1647.048,6748.965,0.068,-0.99,2933.356,7057.378,10
1644.914,6707.561,0.074,-0.99,2885.203,7029.381,10
1643.537,6684.878,0.091,-0.984,2834.951,7004.029,10
1642.947,6656.185,0.099,-0.984,2782.963,6983.352,10
1643.413,6619.431,0.108,-0.986,2730.553,6961.896,10
1644.838,6582.452,0.132,-0.986,2679.257,6938.812,10
1647.37,6547.054,0.142,-0.983,2627.472,6917.784,10
1650.083,6539.855,0.137,-0.983,2574.039,6900.393,10
1652.563,6532.034,0.125,-0.983,2519.72,6888.162,10
1654.429,6517.327,0.067,-0.988,2464.39,6876.808,11
1657.407,6501.019,0.046,-0.991,2409.18,6862.37,11
1661.371,6479.72,0.047,-0.988,2355.514,6847.795,11
1666.542,6451.621,0.026,-0.986,2303.729,6833.884,11
1670.931,6427.381,0.046,-0.983,2259.262,6821.91,11
1674.297,6409.603,0.028,-0.981,2223.945,6812.308,11
1678.344,6389.446,0.043,-0.982,2197.783,6805.137,11
1683.725,6363.705,0.087,-0.974,2181.101,6800.554,11
1690.851,6331.066,0.091,-0.968,2173.572,6798.49,11
1699.117,6295.77,0.121,-0.967,2172.378,6798.168,11
1708.017,6260.843,0.126,-0.958,2171.925,6798.053,11
1714.116,6237.498,0.12,-0.952,2171.424,6797.923,11
1719.045,6217.161,0.053,-0.962,2170.157,6797.578,12
1723.925,6195.183,-0.038,-0.968,2168.018,6796.992,12
1728.81,6171.693,-0.029,-0.962,2164.928,6796.147,12
1733.691,6147.003,0.109,-0.959,2160.769,6795.011,12
1733.577,6135.846,0.18,-0.943,2155.405,6793.548,12
1729.091,6135.203,0.172,-0.942,2148.791,6791.744,12
1728.208,6129.664,0.174,-0.927,2140.963,6789.609,12
1729.603,6120.816,0.231,-0.942,2131.927,6787.145,12
1729.959,6114.15,0.223,-0.953,2121.694,6784.354,12
1730.894,6106.769,0.217,-0.956,2110.357,6781.262,12
1732.885,6097.421,0.211,-0.949,2097.862,6777.855,12
1736.253,6083.37,0.212,-0.947,2084.304,6774.158,12
1738.291,6075.653,0.191,-0.956,2069.437,6770.104,13
